patient,CV_ACC,REG_ACC,patient_again,CV_pi_rmse,CV_mu_rmse,CV_sigma_rmse,REG_pi_rmse,REG_mu_rmse,REG_sigma_rmse
patiant_204,0.977408,0.977165,patient_204,0.046842866,0.023414245,0.012133321,0.036359806,0.022618214,0.009316721
patiant_384,0.98854935,0.989584,patient_384,0.0447663,0.028169114,0.012611031,0.031780973,0.02472574,0.009090413
patiant_506,0.99758583,0.99731714,patient_506,0.045463756,0.018212343,0.013058475,0.027858168,0.015646912,0.01087957
patiant_271,0.9898893,0.99055517,patient_271,0.043745995,0.02275682,0.012643132,0.027283791,0.019212177,0.008407732
patiant_101,0.99265575,0.99399704,patient_101,0.04549065,0.022740627,0.013173194,0.029825237,0.018823566,0.009459158
patiant_31,0.9913678,0.993241,patient_31,0.04529725,0.024414806,0.014977498,0.029653968,0.019313306,0.011036274
patiant_391,0.9957505,0.99910384,patient_391,0.045552082,0.024217265,0.016904008,0.025866332,0.013177422,0.01292722
patiant_815,0.9668437,0.9940898,patient_815,0.09530934,0.04498982,0.023088854,0.0351526,0.022771206,0.015732525
patiant_833,0.99349713,0.9978885,patient_833,0.04556077,0.027100192,0.017140351,0.021259049,0.010010119,0.008677917
patiant_390,0.9903437,0.9930979,patient_390,0.0437305,0.028937208,0.016556831,0.02656627,0.019624773,0.009794485
patiant_77,0.9944535,0.9993405,patient_77,0.04751536,0.026146106,0.01892445,0.025647402,0.0099809095,0.010492013
patiant_667,0.99404436,0.9992116,patient_667,0.046374716,0.027255934,0.01777431,0.022014394,0.009510186,0.009897089
patiant_735,0.98067176,0.99984896,patient_735,0.09024756,0.039313216,0.020086994,0.024936184,0.007903164,0.008515828
patiant_757,0.97532904,0.9926259,patient_757,0.08642473,0.046997562,0.028106283,0.029337293,0.020701451,0.0098368535
patiant_640,0.97728497,0.99941754,patient_640,0.09279,0.041999124,0.02259229,0.024280146,0.010111406,0.009792014
patiant_649,0.9792227,0.9864345,patient_649,0.05485801,0.031556975,0.019140603,0.03167135,0.018028758,0.01148486
patiant_279,0.9940418,0.9950782,patient_279,0.042460807,0.020577163,0.011282129,0.024995951,0.01685106,0.007885946
patiant_693,0.9744027,0.9972608,patient_693,0.092023686,0.043607265,0.022618895,0.027319198,0.015103293,0.012256158
patiant_810,0.9930536,0.9980034,patient_810,0.0460418,0.026979132,0.017279427,0.023311853,0.01087039,0.009039047
patiant_230,0.99390435,0.99984765,patient_230,0.047803834,0.028992185,0.019265816,0.021328999,0.007901243,0.009805251
patiant_266,0.99994457,0.9999997,patient_266,0.042485055,0.0054386053,0.005910191,0.02748226,0.0054973145,0.0029425644
patiant_301,0.99458224,0.99864626,patient_301,0.046807114,0.024994597,0.017977802,0.027617699,0.013749535,0.013693971
patiant_34,0.97906727,0.99367255,patient_34,0.0865349,0.04263671,0.025960624,0.03026402,0.020859143,0.011569662
patiant_669,0.96829396,0.99362916,patient_669,0.09129916,0.04565533,0.023894697,0.027991425,0.0153229255,0.010864032
patiant_765,0.98170906,0.99961257,patient_765,0.09047501,0.039167408,0.020790178,0.025275007,0.00911121,0.008684811
patiant_27,0.9951809,0.9994971,patient_27,0.04586752,0.025563262,0.01718336,0.024057167,0.009060011,0.00867158
patiant_721,0.99495244,0.99967575,patient_721,0.04601825,0.025695888,0.01747449,0.022932047,0.008112339,0.009009287
patiant_150,0.95717317,0.98460096,patient_150,0.09732052,0.04777137,0.021439575,0.042975,0.030021604,0.013921778
patiant_631,0.9873399,0.9979836,patient_631,0.0864429,0.03299596,0.020351395,0.027496003,0.013293489,0.010795393
patiant_770,0.9866071,0.9981861,patient_770,0.0861181,0.03357299,0.02056972,0.027967218,0.012848845,0.010235761
patiant_584,0.9848537,0.9961219,patient_584,0.087699756,0.03653625,0.022746166,0.031280402,0.016238507,0.011964194
patiant_701,0.97835207,0.99895513,patient_701,0.091238074,0.041617252,0.021467978,0.025669733,0.008899786,0.007921791
patiant_395,0.9616659,0.99044394,patient_395,0.0981663,0.045819897,0.022968262,0.033426765,0.021939648,0.014461692
patiant_196,0.9820963,0.99488634,patient_196,0.08600906,0.04080131,0.02326531,0.028907517,0.02358295,0.012181625
patiant_299,0.9855947,0.99701583,patient_299,0.086726844,0.034355704,0.02121853,0.030393003,0.0153839355,0.011525207
patiant_55,0.9782251,0.99253625,patient_55,0.08641047,0.043100186,0.025901826,0.03078369,0.022399371,0.012509843
patiant_771,0.9801436,0.9998546,patient_771,0.09104136,0.03981145,0.019796714,0.022523886,0.0072040358,0.008198879
patiant_781,0.98374695,0.99620104,patient_781,0.08691344,0.03746039,0.022864377,0.032112252,0.01607143,0.0110581685
patiant_215,0.96307105,0.99167985,patient_215,0.09798468,0.04607285,0.02324067,0.033294655,0.023927756,0.016048025
patiant_306,0.9804122,0.9938108,patient_306,0.08656879,0.041698337,0.02522851,0.029936267,0.02063485,0.012215547
patiant_520,0.9863055,0.9976958,patient_520,0.08649,0.034868844,0.021631487,0.027031995,0.014522552,0.011223523
patiant_671,0.9667693,0.9938961,patient_671,0.09668195,0.044873897,0.02241572,0.031273186,0.020868426,0.014812705
patiant_372,0.980018,0.999813,patient_372,0.091401465,0.040113457,0.020474741,0.02396092,0.0073279273,0.008416776
patiant_283,0.9617405,0.9890607,patient_283,0.09823881,0.04697874,0.021989813,0.035865247,0.02607203,0.0144893
patiant_202,0.98688126,0.99763817,patient_202,0.08697516,0.03382382,0.021157302,0.028954256,0.013246893,0.010977828
patiant_317,0.98013777,0.99385864,patient_317,0.08601208,0.040474232,0.024341013,0.026838591,0.0174883,0.009451947
patiant_743,0.97608876,0.9989498,patient_743,0.0920745,0.042644735,0.02159147,0.024791503,0.010517793,0.010329219
patiant_825,0.9719927,0.9867702,patient_825,0.0863947,0.047561307,0.027130308,0.03040106,0.03023511,0.0135102365
patiant_674,0.98330903,0.9953973,patient_674,0.08755306,0.038370494,0.023479896,0.031378694,0.017610969,0.011738745
