patient,seed,depth,training_ratio,kernel_size,pi_rmse,mu_rmse,sigma_rmse
patient_3,10,149,0.1,11,0.04562918,0.022826977,0.013721289
patient_3,10,149,0.5,9,0.030835474,0.017652554,0.012141067
patient_3,10,149,1,9,0.023704639,0.012891635,0.008096026
patient_3,11,149,0.01,17,0.074029416,0.041227605,0.023048518
patient_3,11,149,0.1,11,0.04567818,0.022679143,0.013716363
patient_3,11,149,0.5,9,0.03090888,0.017765744,0.012131992
patient_3,11,149,1,9,0.024603179,0.015169814,0.010884048
patient_3,12,149,0.01,17,0.07382382,0.041847922,0.023389142
patient_3,12,149,0.1,11,0.04551731,0.022802344,0.013774445
patient_3,12,149,0.5,9,0.030161556,0.016431862,0.01148641
patient_3,12,149,1,9,0.024600975,0.015213394,0.01087929
patient_3,13,149,0.01,17,0.07411501,0.041269824,0.02298902
patient_3,13,149,0.1,11,0.045676753,0.022748107,0.013718544
patient_3,13,149,0.5,9,0.030915232,0.01772603,0.012152815
patient_3,13,149,1,9,0.023702405,0.012880054,0.008081169
patient_3,14,149,0.01,17,0.074176185,0.04129738,0.023271278
patient_3,14,149,0.1,11,0.045689188,0.022911573,0.013803148
patient_3,14,149,0.5,9,0.030261409,0.016507844,0.011545504
patient_3,14,149,1,9,0.024651567,0.015258245,0.010880948
patient_3,15,149,0.01,17,0.07383383,0.041513532,0.023004562
patient_3,15,149,0.1,11,0.04559539,0.022570096,0.013679326
patient_3,15,149,0.5,9,0.030895138,0.017673306,0.012187878
patient_3,15,149,1,9,0.025624478,0.01676323,0.011690199
patient_3,16,149,0.01,17,0.07424304,0.041561104,0.023370419
patient_3,16,149,0.1,11,0.045450974,0.02232222,0.013418406
patient_3,16,149,0.5,9,0.030905183,0.01774194,0.012104726
patient_3,16,149,1,9,0.024625385,0.015215685,0.010788503
patient_3,17,149,0.01,17,0.074101545,0.041431606,0.022887161
patient_3,17,149,0.1,11,0.045573365,0.022801027,0.013783581
patient_3,17,149,0.5,9,0.03020486,0.016570525,0.011438674
patient_3,17,149,1,9,0.024636451,0.015276272,0.010819569
patient_3,18,149,0.01,17,0.07380014,0.04154543,0.023131058
patient_3,18,149,0.1,11,0.045517717,0.022784872,0.013787852
patient_3,18,149,0.5,9,0.03020531,0.016569229,0.011438449
patient_3,18,149,1,9,0.024570337,0.015164354,0.01088678
patient_3,19,149,0.01,17,0.07434473,0.041862,0.02305945
patient_3,19,149,0.1,11,0.04544403,0.022245593,0.013426279
patient_3,19,149,0.5,9,0.030880172,0.017771533,0.012162138
patient_3,19,149,1,9,0.024679523,0.015256346,0.010853313
patient_3,20,149,0.01,17,0.07405111,0.04174391,0.023257047
patient_3,20,149,0.1,11,0.04533582,0.02216804,0.013441369
patient_3,20,149,0.5,9,0.030233538,0.01649862,0.011483854
patient_3,20,149,1,9,0.02369699,0.01283064,0.008092376
patient_3,21,149,0.01,17,0.073916055,0.041716695,0.023269914
patient_3,21,149,0.1,11,0.045729272,0.022941014,0.013773908
patient_3,21,149,0.5,9,0.030891499,0.017750254,0.01209952
patient_3,21,149,1,9,0.023674967,0.012813212,0.008053922
patient_3,22,149,0.01,17,0.07428443,0.041703537,0.02311924
patient_3,22,149,0.1,11,0.04561153,0.02288228,0.013828525
patient_3,22,149,0.5,9,0.030252017,0.016484085,0.011485821
patient_3,22,149,1,9,0.024646793,0.015220237,0.010866732
patient_3,23,149,0.01,17,0.073958345,0.04163687,0.023250947
patient_3,23,149,0.1,11,0.045489114,0.022182472,0.013462018
patient_3,23,149,0.5,9,0.030281568,0.016582554,0.011386492
patient_3,23,149,1,9,0.023728665,0.01289543,0.00806732
patient_3,24,149,0.01,17,0.07398275,0.041387945,0.02294703
patient_3,24,149,0.1,11,0.045387994,0.022244386,0.013313708
patient_3,24,149,0.5,9,0.030261002,0.016544018,0.01140742
patient_3,24,149,1,9,0.023683773,0.012809537,0.008059607
patient_3,25,149,0.01,17,0.07396305,0.041544918,0.02318624
patient_3,25,149,0.1,11,0.045479495,0.022327859,0.013383059
patient_3,25,149,0.5,9,0.029473126,0.014197751,0.008777775
patient_3,25,149,1,9,0.024669442,0.01525647,0.010836029
patient_3,26,149,0.01,17,0.07404615,0.041967932,0.02302507
patient_3,26,149,0.1,11,0.045536492,0.02268155,0.013695685
patient_3,26,149,0.5,9,0.030315368,0.01654718,0.011423238
patient_3,26,149,1,9,0.02371504,0.012861609,0.008096842
patient_3,27,149,0.01,17,0.07395841,0.041753307,0.023209536
patient_3,27,149,0.1,11,0.045718506,0.022975788,0.013780738
patient_3,27,149,0.5,9,0.03083815,0.01766755,0.012189049
patient_3,27,149,1,9,0.025581758,0.016727991,0.011796095
patient_3,28,149,0.01,17,0.07422846,0.0415256,0.023180159
patient_3,28,149,0.1,11,0.045643777,0.022683326,0.013830142
patient_3,28,149,0.5,9,0.030861888,0.017665418,0.012190697
patient_3,28,149,1,9,0.024586946,0.015167055,0.010806821
patient_3,29,149,0.01,17,0.07394321,0.04182949,0.022936625
patient_3,29,149,0.1,11,0.045670513,0.022769382,0.013759621
patient_3,29,149,0.5,9,0.029407432,0.014171243,0.008788439
patient_3,29,149,1,9,0.024584888,0.015147457,0.010844828
patient_3,30,149,0.01,17,0.0736668,0.04138705,0.022894334
patient_3,30,149,0.1,11,0.045664143,0.022843696,0.01372721
patient_3,30,149,0.5,9,0.029439172,0.014227124,0.00884197
patient_3,30,149,1,9,0.0246557,0.015231056,0.010829624
patient_3,31,149,0.01,17,0.073886186,0.041458268,0.022886127
patient_3,31,149,0.1,11,0.04569605,0.022790793,0.013678167
patient_3,31,149,0.5,9,0.03080975,0.017632412,0.012306673
patient_3,31,149,1,9,0.024570988,0.015180767,0.010886947
patient_3,32,149,0.01,17,0.07407482,0.041565962,0.023238782
patient_3,32,149,0.1,11,0.045670073,0.02263574,0.013800118
patient_3,32,149,0.5,9,0.030189496,0.016517092,0.011400961
patient_3,32,149,1,9,0.023688141,0.012846259,0.008064694
patient_3,33,149,0.01,17,0.07393157,0.041638047,0.023226107
patient_3,33,149,0.1,11,0.04538475,0.022383032,0.013429081
patient_3,33,149,0.5,9,0.030212713,0.016490726,0.011464292
patient_3,33,149,1,9,0.023682777,0.012838872,0.008073162
patient_3,34,149,0.01,17,0.07402067,0.041458983,0.023272475
patient_3,34,149,0.1,11,0.045607097,0.022933763,0.013774611
patient_3,34,149,0.5,9,0.030256268,0.016506571,0.011446135
patient_3,34,149,1,9,0.02461947,0.015197096,0.010835762
patient_3,35,149,0.01,17,0.07417002,0.041385714,0.023081748
patient_3,35,149,0.1,11,0.0456775,0.022709148,0.013777076
patient_3,35,149,0.5,9,0.030245459,0.016609745,0.011541701
patient_3,35,149,1,9,0.024640784,0.015283851,0.010806964
patient_3,36,149,0.01,17,0.07414616,0.041342486,0.023036275
patient_3,36,149,0.1,11,0.045531776,0.02271966,0.013763983
patient_3,36,149,0.5,9,0.030189179,0.016516296,0.011517752
patient_3,36,149,1,9,0.024570812,0.015160976,0.010900954
patient_3,37,149,0.01,17,0.07403897,0.041564956,0.022887833
patient_3,37,149,0.1,11,0.04568828,0.022950493,0.013726146
patient_3,37,149,0.5,9,0.030265039,0.016648851,0.011442364
patient_3,37,149,1,9,0.024627523,0.015285273,0.010894933
patient_3,38,149,0.01,17,0.07384255,0.041550815,0.02300093
patient_3,38,149,0.1,11,0.04563971,0.02291057,0.013797051
patient_3,38,149,0.5,9,0.030226499,0.016600838,0.011467793
patient_3,38,149,1,9,0.024628434,0.015264548,0.010894804
patient_3,39,149,0.01,17,0.07391138,0.04138613,0.022945032
patient_3,39,149,0.1,11,0.04553757,0.022730427,0.013655055
patient_3,39,149,0.5,9,0.029429896,0.014207901,0.008836909
patient_3,39,149,1,9,0.023720551,0.012905572,0.008123484
patient_3,40,149,0.01,17,0.073764436,0.041521966,0.02309055
patient_3,40,149,0.1,11,0.04553073,0.022722218,0.013738532
patient_3,40,149,0.5,9,0.029480584,0.014270769,0.008824348
patient_3,40,149,1,9,0.024653237,0.015285376,0.01081371
patient_3,41,149,0.01,17,0.07361776,0.041660372,0.022900987
patient_3,41,149,0.1,11,0.04562019,0.022791896,0.013884625
patient_3,41,149,0.5,9,0.03084281,0.017682318,0.012228295
patient_3,41,149,1,9,0.023676991,0.012816086,0.008081112
patient_3,42,149,0.01,17,0.07402964,0.041367147,0.023274224
patient_3,42,149,0.1,11,0.045608245,0.022715798,0.013644227
patient_3,42,149,0.5,9,0.030891694,0.017794225,0.012219681
patient_3,42,149,1,9,0.024709811,0.01533756,0.010862238
patient_3,43,149,0.01,17,0.07373916,0.041799128,0.023048384
patient_3,43,149,0.1,11,0.045579318,0.022857023,0.013794767
patient_3,43,149,0.5,9,0.030216807,0.01650827,0.011496741
patient_3,43,149,1,9,0.024608722,0.015186804,0.010834833
patient_3,44,149,0.01,17,0.073946066,0.041820206,0.023199784
patient_3,44,149,0.1,11,0.045432962,0.022109818,0.013506847
patient_3,44,149,0.5,9,0.029458595,0.014223854,0.008859961
patient_3,44,149,1,9,0.023659859,0.012798558,0.008073597
patient_3,45,149,0.01,17,0.0740837,0.041542854,0.022921607
patient_3,45,149,0.1,11,0.045479313,0.022237474,0.013418336
patient_3,45,149,0.5,9,0.030187083,0.01652943,0.011555595
patient_3,45,149,1,9,0.024657572,0.015248776,0.010816441
patient_3,46,149,0.01,17,0.07399223,0.04178355,0.023217307
patient_3,46,149,0.1,11,0.04555833,0.022708783,0.013758644
patient_3,46,149,0.5,9,0.030261187,0.016569482,0.011529977
patient_3,46,149,1,9,0.024594279,0.015226251,0.010842856
patient_3,47,149,0.01,17,0.07419828,0.041577663,0.023062848
patient_3,47,149,0.1,11,0.045599595,0.022693178,0.013691912
patient_3,47,149,0.5,9,0.029496875,0.014231632,0.008840414
patient_3,47,149,1,9,0.024658743,0.015322235,0.0108247
patient_3,48,149,0.01,17,0.074130386,0.041606013,0.023236215
patient_3,48,149,0.1,11,0.045694694,0.022840053,0.013777283
patient_3,48,149,0.5,9,0.030261358,0.016445523,0.011526183
patient_3,48,149,1,9,0.024701847,0.015290148,0.010884149
patient_3,49,149,0.01,17,0.07411851,0.041467562,0.022920148
patient_3,49,149,0.1,11,0.045641318,0.022894612,0.013846697
patient_3,49,149,0.5,9,0.030189546,0.016439589,0.011491391
patient_3,49,149,1,9,0.023690253,0.012844496,0.008064999
patient_3,50,149,0.01,17,0.07412002,0.0414373,0.022930974
patient_3,50,149,0.1,11,0.04561885,0.022786185,0.013752546
patient_3,50,149,0.5,9,0.030879918,0.017753676,0.012217226
patient_3,50,149,1,9,0.023716055,0.012856641,0.008052324
patient_3,51,149,0.01,17,0.073826775,0.041749123,0.023090368
patient_3,51,149,0.1,11,0.04558932,0.022700384,0.013762237
patient_3,51,149,0.5,9,0.029437013,0.014264755,0.00885801
patient_3,51,149,1,9,0.02369359,0.012858027,0.008086289
patient_3,52,149,0.01,17,0.07418129,0.041540403,0.023349378
patient_3,52,149,0.1,11,0.04569533,0.022787614,0.013749864
patient_3,52,149,0.5,9,0.029476129,0.01421197,0.008820037
patient_3,52,149,1,9,0.02462468,0.015195717,0.010895768
patient_3,53,149,0.01,17,0.074197,0.041083295,0.022740535
patient_3,53,149,0.1,11,0.045587398,0.022794567,0.013783001
patient_3,53,149,0.5,9,0.03083437,0.01775277,0.012237908
patient_3,53,149,1,9,0.023694007,0.012865418,0.008126372
patient_3,54,149,0.01,17,0.07376803,0.041286822,0.023091432
patient_3,54,149,0.1,11,0.04555885,0.022740975,0.013678961
patient_3,54,149,0.5,9,0.03026149,0.01655959,0.011409316
patient_3,54,149,1,9,0.024627104,0.015164292,0.010845193
patient_3,55,149,0.01,17,0.07373568,0.041131075,0.023129867
patient_3,55,149,0.1,11,0.04561056,0.022836274,0.013858696
patient_3,55,149,0.5,9,0.030208373,0.01656714,0.011306468
patient_3,55,149,1,9,0.024617497,0.015211212,0.010860574
patient_3,56,149,0.01,17,0.073910594,0.041463543,0.023207486
patient_3,56,149,0.1,11,0.04562815,0.022815924,0.013714175
patient_3,56,149,0.5,9,0.030937368,0.017763833,0.012185858
patient_3,56,149,1,9,0.024651013,0.015221329,0.010886938
patient_3,57,149,0.01,17,0.073813155,0.04169576,0.023172833
patient_3,57,149,0.1,11,0.04547272,0.022227947,0.013296555
patient_3,57,149,0.5,9,0.030141562,0.01655917,0.011502143
patient_3,57,149,1,9,0.024581457,0.01520676,0.010856731
patient_3,58,149,0.01,17,0.07433673,0.04200496,0.023308061
patient_3,58,149,0.1,11,0.04563424,0.022744076,0.013701091
patient_3,58,149,0.5,9,0.030165406,0.01646696,0.011404103
patient_3,58,149,1,9,0.024605561,0.015210766,0.010843855
patient_3,59,149,0.01,17,0.07408167,0.04163544,0.023187047
patient_3,59,149,0.1,11,0.045478806,0.022688853,0.013714608
patient_3,59,149,0.5,9,0.030304749,0.01652046,0.011511271
patient_3,59,149,1,9,0.023755603,0.01292223,0.008133473
patient_3,60,149,0.01,17,0.0739056,0.041440032,0.022962624
patient_3,60,149,0.1,11,0.04570545,0.02294956,0.01370895
patient_3,60,149,0.5,9,0.030205868,0.016558392,0.011514451
patient_3,60,149,1,9,0.023650087,0.012806427,0.008024035
patient_3,61,149,0.01,17,0.07403655,0.041474123,0.022928309
patient_3,61,149,0.1,11,0.045604523,0.022793885,0.013698799
patient_3,61,149,0.5,9,0.030315451,0.016624339,0.011412967
patient_3,61,149,1,9,0.024623593,0.015209287,0.010865055
patient_3,62,149,0.01,17,0.07397242,0.041607134,0.022812322
patient_3,62,149,0.1,11,0.04571231,0.022860173,0.013680792
patient_3,62,149,0.5,9,0.029431056,0.014227123,0.008831794
patient_3,62,149,1,9,0.02457629,0.015172727,0.010868142
patient_3,63,149,0.01,17,0.073751785,0.041574433,0.023042308
patient_3,63,149,0.1,11,0.045580786,0.022734892,0.013647629
patient_3,63,149,0.5,9,0.029469363,0.014220624,0.008837933
patient_3,63,149,1,9,0.023734497,0.012896853,0.00808853
patient_3,64,149,0.01,17,0.07393774,0.041881524,0.023001237
patient_3,64,149,0.1,11,0.045612868,0.022912787,0.013726273
patient_3,64,149,0.5,9,0.030227238,0.016529769,0.011414018
patient_3,64,149,1,9,0.024600804,0.015166949,0.010865364
patient_3,65,149,0.01,17,0.07389983,0.041741356,0.023219086
patient_3,65,149,0.1,11,0.045622345,0.02280795,0.013770324
patient_3,65,149,0.5,9,0.030173779,0.016522618,0.011552662
patient_3,65,149,1,9,0.02466901,0.015289553,0.010911344
patient_3,66,149,0.01,17,0.0740791,0.04122759,0.022968648
patient_3,66,149,0.1,11,0.045496047,0.022887925,0.013752726
patient_3,66,149,0.5,9,0.030941939,0.017908998,0.012178526
patient_3,66,149,1,9,0.025588766,0.016749475,0.011770498
patient_3,67,149,0.01,17,0.073961295,0.041614782,0.022972772
patient_3,67,149,0.1,11,0.04556526,0.022913873,0.013818652
patient_3,67,149,0.5,9,0.030197673,0.016545024,0.011529248
patient_3,67,149,1,9,0.024590971,0.015221213,0.010859367
patient_3,68,149,0.01,17,0.073937364,0.041605238,0.023120772
patient_3,68,149,0.1,11,0.045573086,0.022915008,0.013710194
patient_3,68,149,0.5,9,0.030821912,0.017680198,0.01212605
patient_3,68,149,1,9,0.023706844,0.012863369,0.008081456
patient_3,69,149,0.01,17,0.073759496,0.04171619,0.022863485
patient_3,69,149,0.1,11,0.045634698,0.02267836,0.013800452
patient_3,69,149,0.5,9,0.03084271,0.017671224,0.012100652
patient_3,69,149,1,9,0.024681518,0.01528971,0.010816306
patient_3,70,149,0.01,17,0.073664166,0.041637167,0.02313466
patient_3,70,149,0.1,11,0.04563584,0.022832513,0.013727604
patient_3,70,149,0.5,9,0.030200366,0.016460972,0.01156597
patient_3,70,149,1,9,0.024558347,0.015174166,0.010894354
patient_3,71,149,0.01,17,0.073967464,0.041593157,0.023108674
patient_3,71,149,0.1,11,0.045682818,0.022864193,0.013716648
patient_3,71,149,0.5,9,0.030288376,0.016599894,0.011442142
patient_3,71,149,1,9,0.024641678,0.015263203,0.010775748
patient_3,72,149,0.01,17,0.073804334,0.041690324,0.023011109
patient_3,72,149,0.1,11,0.04584051,0.022880934,0.013714662
patient_3,72,149,0.5,9,0.030909695,0.017826557,0.012117228
patient_3,72,149,1,9,0.023657661,0.012787698,0.008041456
patient_3,73,149,0.01,17,0.07384352,0.041601148,0.023117518
patient_3,73,149,0.1,11,0.045489814,0.022661079,0.013729838
patient_3,73,149,0.5,9,0.02944593,0.014200648,0.008843377
patient_3,73,149,1,9,0.024641968,0.015259891,0.010860444
patient_3,74,149,0.01,17,0.07433423,0.041544724,0.022804258
patient_3,74,149,0.1,11,0.04563261,0.022752672,0.013809176
patient_3,74,149,0.5,9,0.030208796,0.016540248,0.011498211
patient_3,74,149,1,9,0.023697833,0.012851564,0.008077718
patient_3,75,149,0.01,17,0.07356791,0.041608755,0.022821892
patient_3,75,149,0.1,11,0.045579333,0.02281093,0.013818488
patient_3,75,149,0.5,9,0.030254079,0.016545871,0.011511676
patient_3,75,149,1,9,0.024631593,0.015221168,0.010854907
patient_3,76,149,0.01,17,0.07401633,0.04148948,0.023123262
patient_3,76,149,0.1,11,0.04531216,0.022244038,0.013456809
patient_3,76,149,0.5,9,0.030228907,0.01653167,0.011408928
patient_3,76,149,1,9,0.024612298,0.015234004,0.010821963
patient_3,77,149,0.01,17,0.074113384,0.04157767,0.02316997
patient_3,77,149,0.1,11,0.04555866,0.022814494,0.013812775
patient_3,77,149,0.5,9,0.03023997,0.016525434,0.011457534
patient_3,77,149,1,9,0.024570554,0.015170231,0.010830787
patient_3,78,149,0.01,17,0.07370974,0.041752946,0.023153005
patient_3,78,149,0.1,11,0.04569452,0.022745335,0.013824233
patient_3,78,149,0.5,9,0.030911915,0.017804785,0.012110193
patient_3,78,149,1,9,0.024639929,0.015217349,0.010902168
patient_3,79,149,0.01,17,0.07390707,0.04120509,0.02279307
patient_3,79,149,0.1,11,0.04562415,0.022700096,0.013636316
patient_3,79,149,0.5,9,0.03092313,0.017760608,0.012149592
patient_3,79,149,1,9,0.0255594,0.016672127,0.011782558
patient_3,80,149,0.01,17,0.07420418,0.041193195,0.023208475
patient_3,80,149,0.1,11,0.045575902,0.022728508,0.013716411
patient_3,80,149,0.5,9,0.030225154,0.016489763,0.011463302
patient_3,80,149,1,9,0.02457497,0.015171456,0.010857773
patient_3,81,149,0.01,17,0.07442396,0.041552644,0.023186052
patient_3,81,149,0.1,11,0.04546228,0.022815688,0.013784838
patient_3,81,149,0.5,9,0.03018892,0.016418884,0.011478402
patient_3,81,149,1,9,0.024632603,0.015210938,0.010888697
patient_3,82,149,0.01,17,0.07455153,0.041629385,0.022792296
patient_3,82,149,0.1,11,0.04542776,0.022211915,0.013264435
patient_3,82,149,0.5,9,0.03022836,0.016473819,0.011500857
patient_3,82,149,1,9,0.024633775,0.015212548,0.010822848
patient_3,83,149,0.01,17,0.07380469,0.041487113,0.023144074
patient_3,83,149,0.1,11,0.045668263,0.022625908,0.013700033
patient_3,83,149,0.5,9,0.030908138,0.017933194,0.012152432
patient_3,83,149,1,9,0.025650874,0.016852345,0.011742597
patient_3,84,149,0.01,17,0.07412403,0.04139884,0.023212638
patient_3,84,149,0.1,11,0.045492485,0.022796636,0.013628844
patient_3,84,149,0.5,9,0.030289758,0.016587596,0.011438082
patient_3,84,149,1,9,0.023749884,0.012921037,0.008117592
patient_3,85,149,0.01,17,0.07418573,0.041211322,0.022809425
patient_3,85,149,0.1,11,0.045656987,0.022765234,0.013716256
patient_3,85,149,0.5,9,0.03018228,0.016498983,0.011474646
patient_3,85,149,1,9,0.024638107,0.01525732,0.010830602
patient_3,86,149,0.01,17,0.07379442,0.04171684,0.022995535
patient_3,86,149,0.1,11,0.04563181,0.022874223,0.013744225
patient_3,86,149,0.5,9,0.030835016,0.017649265,0.012229234
patient_3,86,149,1,9,0.024679506,0.015284795,0.010813308
patient_3,87,149,0.01,17,0.07393748,0.041409843,0.023076853
patient_3,87,149,0.1,11,0.045407597,0.022158923,0.013458891
patient_3,87,149,0.5,9,0.030200753,0.016566042,0.011447705
patient_3,87,149,1,9,0.024575617,0.015186351,0.010853746
patient_3,88,149,0.01,17,0.073995866,0.041601617,0.022957949
patient_3,88,149,0.1,11,0.04540232,0.022170477,0.013424783
patient_3,88,149,0.5,9,0.030304244,0.016521558,0.011560721
patient_3,88,149,1,9,0.023735788,0.012861546,0.008075401
patient_3,89,149,0.01,17,0.074216224,0.04182995,0.02309522
patient_3,89,149,0.1,11,0.045675386,0.022782795,0.013740118
patient_3,89,149,0.5,9,0.0294889,0.014272484,0.008877054
patient_3,89,149,1,9,0.02369938,0.01284,0.008067017
patient_3,90,149,0.01,17,0.07384724,0.039852507,0.020957168
patient_3,90,149,0.1,11,0.0457217,0.022779007,0.013718448
patient_3,90,149,0.5,9,0.030902985,0.017694717,0.012161876
patient_3,90,149,1,9,0.024638612,0.015250689,0.010816723
patient_3,91,149,0.01,17,0.07402377,0.041691855,0.023151487
patient_3,91,149,0.1,11,0.04560431,0.022737129,0.013710097
patient_3,91,149,0.5,9,0.030218245,0.016552102,0.011450104
patient_3,91,149,1,9,0.024613682,0.015217965,0.010809534
patient_3,92,149,0.01,17,0.07395644,0.041356005,0.022976203
patient_3,92,149,0.1,11,0.045517523,0.022770068,0.01390726
patient_3,92,149,0.5,9,0.030776426,0.017652638,0.01225343
patient_3,92,149,1,9,0.02463888,0.01530077,0.010846242
patient_3,93,149,0.01,17,0.07404933,0.041510943,0.022844484
patient_3,93,149,0.1,11,0.04564925,0.022769248,0.013770026
patient_3,93,149,0.5,9,0.03092955,0.017801968,0.012074761
patient_3,93,149,1,9,0.02556756,0.01669776,0.011807757
patient_3,94,149,0.01,17,0.07413382,0.041591823,0.023043796
patient_3,94,149,0.1,11,0.04567057,0.022656165,0.013677223
patient_3,94,149,0.5,9,0.030846024,0.017648684,0.012228507
patient_3,94,149,1,9,0.024592042,0.015208099,0.010805328
patient_3,95,149,0.01,17,0.07429367,0.041900605,0.022878747
patient_3,95,149,0.1,11,0.04574175,0.022922292,0.013730541
patient_3,95,149,0.5,9,0.030217292,0.016629785,0.011393652
patient_3,95,149,1,9,0.02460673,0.015229825,0.010846741
patient_3,96,149,0.01,17,0.0737543,0.04181735,0.023158379
patient_3,96,149,0.1,11,0.04557704,0.022747943,0.013706984
patient_3,96,149,0.5,9,0.029401502,0.014172089,0.008857837
patient_3,96,149,1,9,0.024611883,0.01520965,0.010875655
patient_3,97,149,0.01,17,0.07416253,0.04125133,0.023197751
patient_3,97,149,0.1,11,0.04536787,0.022065101,0.013444279
patient_3,97,149,0.5,9,0.029429536,0.014217895,0.008854953
patient_3,97,149,1,9,0.024629075,0.015201934,0.010890628
patient_3,98,149,0.01,17,0.07401308,0.04145933,0.022945702
patient_3,98,149,0.1,11,0.045445938,0.022219367,0.013484472
patient_3,98,149,0.5,9,0.030251551,0.0164872,0.011497878
patient_3,98,149,1,9,0.023686638,0.012845799,0.008061156
patient_3,99,149,0.01,17,0.07440708,0.041247416,0.022938114
patient_3,99,149,0.1,11,0.045620367,0.022821192,0.013651201
patient_3,99,149,0.5,9,0.030161608,0.016469592,0.011536478
patient_3,99,149,1,9,0.024630874,0.015229377,0.010815557
patient_3,100,149,0.01,17,0.073763706,0.041415427,0.02300537
patient_3,100,149,0.1,11,0.045645773,0.022769334,0.013835642
patient_3,100,149,0.5,9,0.030274507,0.016554981,0.01155396
patient_3,100,149,1,9,0.024619974,0.015213566,0.010849678
patient_3,101,149,0.01,17,0.07366265,0.041309025,0.023210444
patient_3,101,149,0.1,11,0.045661725,0.022569839,0.013773878
patient_3,101,149,0.5,9,0.030262085,0.016624788,0.011467261
patient_3,101,149,1,9,0.024645342,0.015237887,0.010844146
patient_3,102,149,0.01,17,0.07417631,0.04174818,0.023055488
patient_3,102,149,0.1,11,0.04571053,0.022979682,0.013765487
patient_3,102,149,0.5,9,0.03014411,0.016485518,0.011508858
patient_3,102,149,1,9,0.024651509,0.015270285,0.010862775
patient_3,103,149,0.01,17,0.074013986,0.041545853,0.023076292
patient_3,103,149,0.1,11,0.04558652,0.022602914,0.01366438
patient_3,103,149,0.5,9,0.02946887,0.014231878,0.008841791
patient_3,103,149,1,9,0.023676222,0.012830049,0.008034465
patient_3,104,149,0.01,17,0.07409905,0.04120456,0.022939812
patient_3,104,149,0.1,11,0.045653105,0.022762809,0.013739856
patient_3,104,149,0.5,9,0.02942716,0.014194006,0.008821493
patient_3,104,149,1,9,0.024620404,0.015235749,0.010866564
patient_3,105,149,0.01,17,0.0739903,0.04191898,0.023338586
patient_3,105,149,0.1,11,0.04546963,0.023062915,0.013807921
patient_3,105,149,0.5,9,0.030291736,0.016613007,0.011437895
patient_3,105,149,1,9,0.023669297,0.012808205,0.00801385
patient_3,106,149,0.01,17,0.074095376,0.04160922,0.02289934
patient_3,106,149,0.1,11,0.045635667,0.022832042,0.013721522
patient_3,106,149,0.5,9,0.030204255,0.016478693,0.01147284
patient_3,106,149,1,9,0.024642838,0.015231478,0.010841141
